diff_4-1,final_accuracy
0.40392491161192234,0.8686
0.524193559314029,0.8382
0.4493128672065283,0.8611
0.4046766009895244,0.8204
0.328535813033906,0.8411
0.4657739592088046,0.8418
0.3966022960107831,0.8637
0.357652521072231,0.7674
0.4979886660638587,0.8601
0.4519941176517599,0.8547
0.34742874991331574,0.8216
0.45446324298731344,0.851
0.4251873354365667,0.8604
0.47528122884170876,0.8675
0.49067793352924394,0.8555
0.5153788236000616,0.8631
0.46926288284244255,0.8585
0.47574403481411554,0.8508
0.4499818854198878,0.845
0.40991778487688,0.8593
0.4675943224637371,0.8377
0.47217260211715706,0.8572
0.36967705364674,0.8538
0.44360065464029574,0.8344
0.38600059082617477,0.8377
0.47314887938684547,0.8649
0.3959899281017436,0.8491
0.28666441250122787,0.7765
0.49049572700638766,0.8568
0.48556829137529833,0.8473
0.5000734225962458,0.856
0.482839761806827,0.8594
0.4552880873617393,0.8722
0.45590454426032045,0.8454
0.4857785680717024,0.8749
0.3444014761667433,0.7785
0.4481727079890805,0.8544
0.43430203654500676,0.8568
0.39519415733177077,0.8473
0.4328560902592766,0.8254
0.4476148902050454,0.8787
0.4648336897991696,0.8767
0.3518507616773108,0.8494
0.5149363585684137,0.8561
0.4441355496673657,0.8424
0.5292815615590047,0.8517
0.5170618006920715,0.8749
0.4375239855821673,0.8186
0.48475985076513894,0.8538
0.4739237771150505,0.8508
0.5003905142963716,0.8536
0.45604486954223655,0.8393
0.4151427068884723,0.8505
0.47800356281618295,0.8749
0.47688455756826587,0.8701
0.46074036015200615,0.8583
0.506036401368656,0.8694
0.5386988245450346,0.8696
0.4904914139018519,0.8513
0.4380961503208469,0.8257
0.5127868098749118,0.8559
0.392550331987094,0.8361
0.5762834653741165,0.8482
0.4316077184172291,0.846
0.45912082737594373,0.8438
0.5233487529482335,0.8628
0.46290951089519394,0.8418
0.486257352123744,0.8573
0.4814070210764336,0.8525
0.3828709826164991,0.7984
0.5496374377081477,0.8561
0.4298181927735736,0.8632
0.46643935773553924,0.8482
0.4366908903721629,0.8589
0.4137206720854557,0.827
0.2822637657420086,0.77
0.4769998713108756,0.8436
0.3582270651013566,0.8165
0.4316023810765741,0.8568
0.4801844076961901,0.8504
0.39790142297668263,0.854
0.44121028207072777,0.8216
0.4305233564329407,0.8431
0.38357455381644945,0.8294
0.48877742166583427,0.8678
0.4386174508230327,0.8337
0.3899826838643574,0.8346
0.3866123247498461,0.8413
0.4671238264977873,0.8764
0.44236544882750173,0.8219
0.40848719576516523,0.879
0.4268831716809167,0.7778
0.4539894597209875,0.8438
0.48301306981706915,0.8532
0.5093384847680766,0.8618
0.4475303081353963,0.8534
0.4466874893559911,0.8729
0.36393396143810763,0.8438
0.4852220866402486,0.8016
0.43034773825987194,0.8674
0.41574373392864494,0.8332
0.32911044540870327,0.8202
0.46110145652527446,0.8525
0.3185747989217633,0.8291
0.4498911426929393,0.8505
0.3455534202378645,0.767
0.5024293694964272,0.8676
0.4400888931915703,0.842
0.46671218882778875,0.8539
0.48282872360793694,0.8715
0.36256484465986105,0.8457
0.45480866106343565,0.8692
0.4671031026684169,0.8791
0.5078771514008356,0.8439
0.473334580038387,0.8413
0.3572784580020214,0.8162
0.38869231845615837,0.8569
0.40987413343344503,0.8431
0.4779667796559315,0.852
0.37544729929915754,0.858
0.27927472957021204,0.7509
0.45059413255159764,0.8347
0.5083429990076354,0.8466
0.4006078274616417,0.8235
0.462151691896012,0.8678
0.47678044211761206,0.8572
0.40798925458524415,0.8636
0.4246636188332378,0.8546
0.5341104489700665,0.8731
0.4856715048587128,0.8541
0.44686649872165163,0.8385
0.46485995056922125,0.8721
0.5127775864146786,0.872
0.40126040492793646,0.8345
0.4830948003867439,0.8558
0.3603245655925067,0.8192
0.4809629079581912,0.8321
0.45359203553100325,0.8487
0.4826911770459892,0.849
0.4057415712709642,0.8121
0.4843391911471774,0.8344
0.513723367982313,0.8689
0.4582466006393726,0.8523
0.4609773484873474,0.8628
0.42243880046878757,0.8208
0.5701950334531203,0.8552
0.43525973565692433,0.8563
0.4710019398355162,0.8256
0.43629772769437225,0.8574
0.29379094714035325,0.782
0.46049923578592167,0.8544
0.425780628597197,0.8628
0.39373403686263986,0.8155
0.4888042199867906,0.8534
0.4864658900166996,0.8231
0.43829921089688817,0.8522
0.4970110486553463,0.8555
0.6380819301020844,0.8766
0.5206929652171521,0.8568
0.5088758057495475,0.865
0.42997612863693035,0.8657
0.49192791574843464,0.876
0.5384301160595759,0.8602
0.4123622245577463,0.8186
0.4162263108783706,0.8299
0.44326124934764644,0.8677
0.3924563840524027,0.8272
0.44148331377649286,0.8633
0.4093857054760872,0.8484
0.5139553389719063,0.8481
0.4601875559274762,0.8801
0.4665589952147615,0.875
0.4580883042032917,0.8619
0.5541784422191858,0.8436
0.44249602441876457,0.8647
0.4143388701586682,0.8606
0.48604724791174647,0.8374
0.3512068264446926,0.7846
0.37125391358934534,0.8554
0.4700207538164156,0.8574
0.48771028339690725,0.861
0.5338505016981043,0.8643
0.5143391997683381,0.8616
0.3040180846135663,0.7991
0.423143199077584,0.8518
0.44824682962523466,0.8419
0.5346990982079529,0.8589
0.5212711623971722,0.8873
0.4872839905950248,0.839
0.4217085891860701,0.8309
0.4019575202774842,0.8307
0.4190218881188503,0.8641
0.47713174982869466,0.8548
0.37426029052495724,0.8285
0.41838625772358085,0.8332
0.33428184283173623,0.7736
0.36399712606925094,0.8557
0.5002264048680686,0.8415
0.4238161418848707,0.859
0.4000011266788537,0.8578
